Productgroepcode,Productgroep_oms,Productcode,Product_omschrijving,Product_description,Product_synoniemen,Meeteenheid,Hoeveelheid,Commentaarregel,Verrijkt_met,Bevat_een_spoor_van,ENERCJ_kJ,ENERCC_kcal,PROT_g,PROTPL_g,PROTAN_g,NT_g,CHO_g,SUGAR_g,STARCH_g,POLYL_g,FIBT_g,ALC_g,WATER_g,OA_g,FAT_g,FACID_g,FASAT_g,FAMSCIS_g,FAPU_g,FAPUN3_g,FAPUN6_g,FATRS_g,F4_0_g,F6_0_g,F8_0_g,F10_0_g,F11_0_g,F12_0_g,F13_0_g,F14_0_g,F15_0_g,F16_0_g,F17_0_g,F18_0_g,F19_0_g,F20_0_g,F21_0_g,F22_0_g,F23_0_g,F24_0_g,F25_0_g,F26_0_g,FASATXR_g,F10_1CIS_g,F12_1CIS_g,F14_1CIS_g,F16_1CIS_g,F18_1CIS_g,F20_1CIS_g,F22_1CIS_g,F24_1CIS_g,FAMSCXR_g,F18_2CN6_g,F18_2CN9_g,F18_2CT_g,F18_2TC_g,F18_2R_g,F18_3CN3_g,F18_3CN6_g,F18_4CN3_g,F20_2CN6_g,F20_3CN9_g,F20_3CN6_g,F20_3CN3_g,F20_4CN6_g,F20_4CN3_g,F20_5CN3_g,F21_5CN3_g,F22_2CN6_g,F22_2CN3_g,F22_3CN3_g,F22_4CN6_g,F22_5CN6_g,F22_5CN3_g,F22_6CN3_g,F24_2CN6_g,FAPUXR_g,F10_1TRS_g,F12_1TRS_g,F14_1TRS_g,F16_1TRS_g,F18_1TRS_g,F18_2TTN6_g,F18_3TTTN3_g,F20_1TRS_g,F20_2TT_g,F22_1TRS_g,F24_1TRS_g,FAMSTXR_g,FAUN_g,CHORL_mg,NA_mg,K_mg,CA_mg,P_mg,MG_mg,FE_mg,HAEM_mg,NHAEM_mg,CU_mg,SE_mug,ZN_mg,ID_mug,ASH_g,VITA_RAE_mug,VITA_RE_mug,RETOL_mug,CARTBTOT_mug,CARTA_mug,LUTN_mug,ZEA_mug,CRYPXB_mug,LYCPN_mug,VITD_mug,CHOCALOH_mug,CHOCAL_mug,VITE_mg,TOCPHA_mg,TOCPHB_mg,TOCPHG_mg,TOCPHD_mg,VITK_mug,VITK1_mug,VITK2_mug,THIA_mg,RIBF_mg,VITB6_mg,VITB12_mug,NIA_mg,FOL_mug,FOLFD_mug,FOLAC_mug,VITC_mg
9,Groente,17,Cantharel rauw,Mushrooms chanterelle raw,,g,100,Per 100g.,,CARTA,68,16,1.8,1.8,0.0,0.3,1.0,0.0,1.0,0.0,2.5,0.0,90.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,500.0,10.0,80.0,7.0,0.5,0.0,0.5,0.42,0.0,0.97,3.3,1.5,108.0,217.0,0.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,,,,,,,0.07,0.3,0.02,0.0,5.0,44.0,44.0,0.0,20.0
9,Groente,18,Cantharel gekookt,Mushrooms chanterelle boiled,,g,100,Per 100g.,,CARTA,85,20,1.8,1.8,0.0,,2.0,0.0,2.0,0.0,2.5,0.0,90.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,500.0,10.0,80.0,7.0,0.5,0.0,0.5,0.42,0.0,0.97,3.3,,190.0,380.0,0.0,2281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,,,,,,,0.07,0.3,0.01,0.0,5.0,8.0,8.0,0.0,6.0
9,Groente,19,Champignon rauw,Mushroom raw,,g,100,Per 100g.,,,75,18,2.3,2.3,0.0,0.5,0.4,0.2,0.2,0.0,1.5,0.0,94.4,,0.5,0.4,0.1,0.0,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,320.0,6.0,80.0,9.0,0.2,0.0,0.2,0.72,0.0,0.3,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,,,,0.3,0.3,,0.07,0.3,0.12,0.0,4.0,44.0,44.0,0.0,4.0
9,Groente,20,Champignon gekookt,Mushroom boiled,,g,100,Per 100g.,,,90,21,3.8,3.8,0.0,,0.4,0.2,0.2,0.0,1.1,0.0,90.0,,0.3,0.2,0.1,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,250.0,5.0,64.0,7.0,1.0,0.0,1.0,0.4,7.0,0.3,0.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,,,,0.0,0.0,,0.07,0.3,0.07,0.0,4.0,8.0,8.0,0.0,1.0
9,Groente,21,Kool Chinese rauw,Cabbage Chinese raw,,g,100,Per 100g.,,"CARTA, CRYPXB",71,17,1.0,1.0,0.0,,2.0,0.0,2.0,0.0,2.5,0.0,94.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,250.0,125.0,45.0,11.0,1.0,0.0,1.0,0.02,0.0,0.23,2.0,,1.0,3.0,0.0,15.0,0.0,40.0,,0.0,0.0,0.0,0.0,0.0,0.1,,,,,31.8,31.8,,0.03,0.04,0.05,0.0,0.6,77.0,77.0,0.0,23.0
9,Groente,22,Kool Chinese gekookt,Cabbage Chinese boiled,,g,100,Per 100g.,,"CARTA, CRYPXB",71,17,1.0,1.0,0.0,,2.0,0.0,2.0,0.0,2.5,0.0,94.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,250.0,125.0,45.0,11.0,1.0,0.0,1.0,0.02,0.0,0.17,2.0,,1.0,3.0,0.0,15.0,0.0,40.0,,0.0,0.0,0.0,0.0,0.0,0.1,,,,,34.0,34.0,,0.03,0.04,0.03,0.0,0.6,55.0,55.0,0.0,10.0
9,Groente,23,Doperwten rauw,Peas raw,,g,100,Per 100g.,,,276,65,4.0,4.0,0.0,,10.0,1.0,9.0,0.0,4.7,0.0,82.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,300.0,20.0,80.0,30.0,2.0,0.0,2.0,0.11,1.0,1.1,2.0,,47.0,94.0,0.0,557.0,16.0,1790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,39.0,39.0,,0.17,0.15,0.09,0.0,2.7,59.0,59.0,0.0,25.0
9,Groente,24,Kool groene rauw,Cabbage green raw,Kool savooie rauw,g,100,Per 100g.,,"TOCPHD, TOCPHG",151,36,2.4,2.4,0.0,,4.1,4.1,0.0,0.0,4.1,0.0,89.2,,0.2,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,7.0,288.0,56.0,37.0,14.0,0.5,0.0,0.5,0.04,1.0,0.3,1.0,,38.0,76.0,0.0,454.0,,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.0,242.0,242.0,,0.33,0.04,0.14,0.0,0.6,45.0,45.0,0.0,30.0
9,Groente,25,Kool groene gekookt,Cabbage green boiled,Kool savooie gekookt,g,100,Per 100g.,,"CARTA, CRYPXB, LYCPN, TOCPHB, TOCPHD",90,21,1.5,1.5,0.0,,2.3,2.3,0.0,0.0,2.2,0.0,93.8,,0.2,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,5.0,187.0,54.0,29.0,9.0,0.4,0.0,0.4,0.03,1.0,0.2,1.0,,26.0,53.0,0.0,317.0,0.0,414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,201.0,201.0,,0.15,0.05,0.07,0.0,0.3,40.0,40.0,0.0,45.0
9,Groente,26,Selderij knol- gekookt,Celeriac boiled,Knolselderij gekookt,g,100,Per 100g.,,,158,38,2.0,2.0,0.0,,5.0,0.0,5.0,0.0,4.9,0.0,88.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,400.0,80.0,90.0,13.0,1.0,0.0,1.0,0.03,3.0,0.1,2.0,,2.0,4.0,0.0,13.0,13.0,,,13.0,,0.0,0.0,0.0,0.5,0.5,0.0,0.1,,41.0,41.0,,0.03,0.03,0.09,0.0,0.8,37.0,37.0,0.0,6.0
